Account,total_days_active,total_pnl,avg_daily_pnl,median_trade_count,avg_exposure_usd,median_exposure_usd,day_win_rate,trade_win_rate,worst_drawdown,total_volume,exposure_segment,frequency_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,24,1600229.819979,66676.242499125,53.0,33569.102223713766,22542.330089776617,0.6666666666666666,0.7706911497254099,-327505.900056,61697263.970000006,High Exposure,Frequent,Consistent Winner
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,52,47885.320514,920.8715483461539,61.5,4359.8309302466505,1561.205449604743,0.5576923076923077,0.7746694551728613,-22505.512854,12035487.66,Low Exposure,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,12,-70436.191318,-5869.682609833333,326.0,11057.118418553686,7121.300711918432,0.6666666666666666,0.7291901940773508,-127214.259261,33873440.42,High Exposure,Frequent,Consistent Winner
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,162,132464.814554,817.6840404567902,61.0,484.8442941619222,347.20546867167917,0.8888888888888888,0.8834986162967678,-20765.48496599999,6757022.1,Low Exposure,Frequent,Consistent Winner
0x2c229d22b100a7beb69122eed721cee9b24011dd,69,168658.004994,2444.3189129565217,24.0,2553.7570373757217,1943.5483333333332,0.782608695652174,0.7615892289549481,-3323.090682000009,10166880.2,Low Exposure,Infrequent,Consistent Winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,43,-31203.599986,-725.6651159534885,6.0,1613.2556722621034,117.02833333333335,0.32558139534883723,0.6742275521077364,-72378.92055899999,1409902.0,Low Exposure,Infrequent,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,46,14456.919336,314.2808551304348,14.0,28188.549085190585,4110.426239347518,0.5434782608695652,0.8311065086645512,-78139.65971699999,17193375.42,High Exposure,Infrequent,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,28,53496.247243000005,1910.5802586785717,7.5,9812.51560528366,3025.5414826839824,0.5357142857142857,1.0,-7.275957614183426e-12,1143896.46,High Exposure,Infrequent,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,20,199505.592732,9975.2796366,11.0,8334.762260556681,4649.7582142857145,0.5,1.0,0.0,1987527.6099999999,High Exposure,Infrequent,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,28,416541.872341,14876.49544075,5.5,2525.945975144083,795.9708177361854,0.25,1.0,0.0,2966109.22,Low Exposure,Infrequent,Inconsistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,144,103343.716161,717.6646955625,33.0,516.6442989710463,489.4690738025415,0.8194444444444444,0.8128397849603801,-19015.665001999994,4408828.9,Low Exposure,Frequent,Consistent Winner
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,677747.050643,11685.293976603449,50.0,16024.724760769133,7472.913437499999,0.6724137931034483,0.9126012876012876,-2427.873799000008,39572949.25,High Exposure,Frequent,Consistent Winner
0x4f93fead39b70a1824f981a54d4e55b278e9f760,321,308975.869716,962.5416502056074,16.0,16038.456425115373,14664.804285714286,0.6043613707165109,0.9598035894545963,-113383.71529000001,129672529.28,High Exposure,Infrequent,Consistent Winner
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,840422.555216,21549.296287589743,211.0,27603.84521556422,25242.244090287277,0.5641025641025641,0.8668135348666396,-71121.82070400001,420876556.36,High Exposure,Frequent,Consistent Winner
0x6d6a4b953f202f8df5bed40692e7fd865318264a,47,108731.216772,2313.4301440851063,12.0,867.1703611532234,833.3333333333334,0.574468085106383,0.9533730158730158,-89.17810000000463,728057.51,Low Exposure,Infrequent,Consistent Winner
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,429355.565915,22597.66136394737,77.0,9367.295108536868,2502.2713636363637,0.21052631578947367,0.5299145299145299,-58219.752261000045,11474500.92,High Exposure,Frequent,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,66,403011.504159,6106.2349115,12.5,4840.92212840505,2325.5696666666663,0.25757575757575757,0.7983957219251336,-10753.598469000019,3051144.33,High Exposure,Infrequent,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,379095.406711,2596.5438815821917,45.0,3354.2092903010684,2462.834940292758,0.910958904109589,0.8804709200721843,-22303.603583999968,25729497.24,Low Exposure,Frequent,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,26,14900.443047,573.0939633461538,5.5,6760.1144210194525,5700.528333333334,0.6153846153846154,0.9088894191256396,-869.1459780000005,5844484.45,High Exposure,Infrequent,Consistent Winner
0x8170715b3b381dffb7062c0298972d4727a0a63b,92,-167621.124781,-1821.9687476195652,18.5,2782.687344213111,1905.0865202702703,0.42391304347826086,0.7719582022958876,-369393.22926099994,10143758.13,Low Exposure,Infrequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,54,65513.657906,1213.215887148148,6.5,5475.174210575846,1695.4238023952093,0.3888888888888889,0.8301391760610106,-4968.487948000002,11999173.370000001,High Exposure,Infrequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,174,43917.008976,252.3966033103448,34.5,839.021370213006,621.621539039039,0.7586206896551724,0.8582936814277426,-33833.350628,12304786.84,Low Exposure,Frequent,Consistent Winner
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,18,126578.942134,7032.163451888889,77.0,12481.488695021257,3563.760085836397,0.3888888888888889,0.8688811188811189,-621.545060000004,10992355.74,High Exposure,Frequent,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,64,106302.875256,1660.982425875,188.0,1273.0527781456335,1015.5521287386216,0.71875,0.9719059123267462,-6194.283148999995,19868207.98,Low Exposure,Frequent,Consistent Winner
